Genre,Publisher,Rating,Greatest_Sales
Sports,Nintendo,E,NA
Platform,Nintendo,?,NA
Racing,Nintendo,E,EU
Sports,Nintendo,E,EU
Role-Playing,Nintendo,?,JP
Puzzle,Nintendo,?,NA
Platform,Nintendo,E,JP
Misc,Nintendo,E,NA
Platform,Nintendo,E,JP
Shooter,Nintendo,?,NA
Simulation,Nintendo,?,EU
Racing,Nintendo,E,JP
Role-Playing,Nintendo,?,JP
Sports,Nintendo,E,JP
Misc,Microsoft Game Studios,E,NA
Sports,Nintendo,E,EU
Action,Take-Two Interactive,M,Other
Action,Take-Two Interactive,M,Other
Platform,Nintendo,?,JP
Misc,Nintendo,E,JP
Role-Playing,Nintendo,?,JP
Platform,Nintendo,?,JP
Platform,Nintendo,?,JP
Action,Take-Two Interactive,M,NA
Action,Take-Two Interactive,M,NA
Role-Playing,Nintendo,?,JP
Puzzle,Nintendo,E,JP
Role-Playing,Nintendo,?,JP
Racing,Sony Computer Entertainment,E,JP
Role-Playing,Nintendo,?,JP
Shooter,Activision,?,Other
Shooter,Activision,M,NA
Shooter,Activision,M,NA
Role-Playing,Nintendo,?,JP
Shooter,Activision,M,Other
Shooter,Activision,M,NA
Shooter,Activision,M,NA
Action,Take-Two Interactive,M,EU
Shooter,Activision,M,EU
Action,Take-Two Interactive,M,NA
Racing,Nintendo,E,JP
Fighting,Nintendo,T,JP
Shooter,Activision,M,Other
Simulation,Nintendo,E,JP
Shooter,Microsoft Game Studios,M,NA
Role-Playing,Nintendo,?,JP
Platform,Nintendo,?,JP
Action,Nintendo,?,JP
Racing,Sony Computer Entertainment,E,Other
Role-Playing,Nintendo,?,JP
Platform,Nintendo,E,NA
Adventure,Nintendo,?,JP
Action,Take-Two Interactive,M,NA
Racing,Sony Computer Entertainment,E,JP
Platform,Nintendo,E,JP
Racing,Sony Computer Entertainment,E,Other
Shooter,Activision,M,Other
Platform,Nintendo,?,JP
Action,Take-Two Interactive,M,Other
Role-Playing,Nintendo,?,JP
Platform,Nintendo,?,JP
Shooter,Activision,M,NA
Misc,Ubisoft,E10+,NA
Platform,Nintendo,E,JP
Shooter,Microsoft Game Studios,M,NA
Racing,Nintendo,?,JP
Shooter,Microsoft Game Studios,M,NA
Role-Playing,Sony Computer Entertainment,T,JP
Racing,Sony Computer Entertainment,T,JP
Misc,Ubisoft,E10+,NA
Shooter,Activision,M,EU
Shooter,Activision,M,NA
Simulation,Nintendo,E,JP
Platform,Nintendo,?,JP
Misc,Microsoft Game Studios,?,NA
Sports,Electronic Arts,E,EU
Misc,Nintendo,E,JP
Role-Playing,Bethesda Softworks,M,NA
Racing,Nintendo,?,JP
Sports,Electronic Arts,E,EU
Shooter,Microsoft Game Studios,M,NA
Misc,Nintendo,E,JP
Misc,Nintendo,E,JP
Shooter,Electronic Arts,?,Other
Action,Electronic Arts,E,Other
Shooter,Nintendo,?,NA
Role-Playing,Nintendo,?,JP
Role-Playing,Sony Computer Entertainment,T,JP
Simulation,Electronic Arts,T,EU
Sports,Sega,?,EU
Role-Playing,SquareSoft,T,JP
Puzzle,Atari,?,NA
Role-Playing,Nintendo,E,JP
Action,Take-Two Interactive,M,Other
Shooter,Activision,M,EU
Fighting,Nintendo,?,JP
Action,Nintendo,?,JP
Platform,Sony Computer Entertainment,?,JP
Platform,Nintendo,E,JP
Platform,Nintendo,?,NA
Shooter,Activision,?,NA
Shooter,Activision,M,NA
Role-Playing,Bethesda Softworks,M,EU
Shooter,Electronic Arts,M,NA
Shooter,Sony Computer Entertainment,T,Other
Racing,Nintendo,E,JP
Racing,Electronic Arts,E,EU
Misc,Ubisoft,E10+,EU
Shooter,Electronic Arts,M,Other
Fighting,Sony Computer Entertainment,T,JP
Action,Nintendo,T,NA
Platform,Sony Computer Entertainment,E,JP
Fighting,Nintendo,T,JP
Racing,Nintendo,?,NA
Racing,Electronic Arts,E,EU
Shooter,Electronic Arts,T,EU
Platform,Sony Computer Entertainment,?,JP
Misc,Ubisoft,E10+,NA
Shooter,Microsoft Game Studios,M,NA
Action,Sony Computer Entertainment,T,Other
Sports,505 Games,E,EU
Shooter,Activision,M,Other
Action,Sony Computer Entertainment,T,Other
Sports,Electronic Arts,?,EU
Misc,Nintendo,E,JP
Action,Nintendo,?,JP
Action,Take-Two Interactive,M,Other
Sports,Electronic Arts,E,EU
Platform,Nintendo,E,JP
Action,Ubisoft,M,Other
Shooter,Microsoft Game Studios,M,NA
Role-Playing,Bethesda Softworks,M,Other
Role-Playing,Nintendo,E,JP
Role-Playing,Sony Computer Entertainment,E,JP
Role-Playing,Nintendo,?,JP
Action,Take-Two Interactive,M,NA
